Country,Year,Month,As On Date,Foreign Exchange Reserve Type,"Rupees (UOM:INR(IndianRupees)), Scaling Factor:10000000","Us Dollars (UOM:USD(USDollars)), Scaling Factor:1000000","Volume (UOM:MT(MetricTonnes)), Scaling Factor:1","Special Drawing Rights (Sdrs) (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2024","March, 2025",14-Mar-2025,Foreign Currency Assets,4848035.11,55718649,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",14-Mar-2025,Gold,647273.46,7439138,879.01,
India,"Financial Year (Apr - Mar), 2024","March, 2025",14-Mar-2025,Reserve Tranche Position in IMF,38587.53,443111,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",14-Mar-2025,SDRs,158894.46,182618,,13705.95
India,"Financial Year (Apr - Mar), 2024","March, 2025",14-Mar-2025,Total Reserves,5692790.56,65427078,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",21-Mar-2025,Foreign Currency Assets,4803678.05,55885575,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",21-Mar-2025,Gold,664219.38,7727471,879.01,
India,"Financial Year (Apr - Mar), 2024","March, 2025",21-Mar-2025,Reserve Tranche Position in IMF,38185.627,4428942,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",21-Mar-2025,SDRs,156784.3,1824015,,13705.95
India,"Financial Year (Apr - Mar), 2024","March, 2025",21-Mar-2025,Total Reserves,5662867.357,658799552,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",28-Mar-2025,Foreign Currency Assets,4829094.53,56501388,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",28-Mar-2025,Gold,664888.53,7779331,879.58,
India,"Financial Year (Apr - Mar), 2024","March, 2025",28-Mar-2025,Reserve Tranche Position in IMF,37767.89,44131,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",28-Mar-2025,SDRs,155344.22,1817559,,13705.95
India,"Financial Year (Apr - Mar), 2024","March, 2025",28-Mar-2025,Total Reserves,5687095.17,66539588,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",07-Feb-2025,Foreign Currency Assets,4757452.78,54410624,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",07-Feb-2025,Gold,631356.96,7220781,879.01,
India,"Financial Year (Apr - Mar), 2024","February, 2025",07-Feb-2025,Reserve Tranche Position in IMF,35597.091,4069253,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",07-Feb-2025,SDRs,156319.05,1787809,,13704.73
India,"Financial Year (Apr - Mar), 2024","February, 2025",07-Feb-2025,Total Reserves,5580725.881,638261393,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",14-Feb-2025,Foreign Currency Assets,4685134.51,53959109,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",14-Feb-2025,Gold,643823.76,7414975,879.01,
India,"Financial Year (Apr - Mar), 2024","February, 2025",14-Feb-2025,Reserve Tranche Position in IMF,35475.575,4082993,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",14-Feb-2025,SDRs,155398.3,1789736,,13705.95
India,"Financial Year (Apr - Mar), 2024","February, 2025",14-Feb-2025,Total Reserves,5519832.145,635721193,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",21-Feb-2025,Foreign Currency Assets,4715810.78,54384252,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",21-Feb-2025,Gold,646667.5,7457578,879.01,
India,"Financial Year (Apr - Mar), 2024","February, 2025",21-Feb-2025,Reserve Tranche Position in IMF,35441.46,409035,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",21-Feb-2025,SDRs,155830.1,1797083,,13705.95
India,"Financial Year (Apr - Mar), 2024","February, 2025",21-Feb-2025,Total Reserves,5553749.84,64047948,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",28-Feb-2025,Foreign Currency Assets,4754944.49,54334957,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",28-Feb-2025,Gold,641217.97,7327226,879.01,
India,"Financial Year (Apr - Mar), 2024","February, 2025",28-Feb-2025,Reserve Tranche Position in IMF,35646.12,407848,,
India,"Financial Year (Apr - Mar), 2024","February, 2025",28-Feb-2025,SDRs,157504.43,179981,,13705.95
India,"Financial Year (Apr - Mar), 2024","February, 2025",28-Feb-2025,Total Reserves,5589313.01,63869841,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",03-Jan-2025,Foreign Currency Assets,4679273.26,54547983,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",03-Jan-2025,Gold,575529.72,6709158,876.18,
India,"Financial Year (Apr - Mar), 2024","January, 2025",03-Jan-2025,Reserve Tranche Position in IMF,36012.344,419921,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",03-Jan-2025,SDRs,152817.59,178145,,13704.73
India,"Financial Year (Apr - Mar), 2024","January, 2025",03-Jan-2025,Total Reserves,5443632.914,63458512,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",10-Jan-2025,Foreign Currency Assets,4607932.24,53601113,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",10-Jan-2025,Gold,583572.12,6788319,877.14,
India,"Financial Year (Apr - Mar), 2024","January, 2025",10-Jan-2025,Reserve Tranche Position in IMF,36036.592,4195394,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",10-Jan-2025,SDRs,152861.02,1778134,,13704.73
India,"Financial Year (Apr - Mar), 2024","January, 2025",10-Jan-2025,Total Reserves,5380401.972,625871054,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",17-Jan-2025,Foreign Currency Assets,4617657.95,53313313,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",17-Jan-2025,Gold,597171.7,6894664,877.14,
India,"Financial Year (Apr - Mar), 2024","January, 2025",17-Jan-2025,Reserve Tranche Position in IMF,35686.954,4121638,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",17-Jan-2025,SDRs,154015.26,1778188,,13704.73
India,"Financial Year (Apr - Mar), 2024","January, 2025",17-Jan-2025,Total Reserves,5404531.864,623983288,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",24-Jan-2025,Foreign Currency Assets,4636524.04,53789105,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",24-Jan-2025,Gold,600378.72,6965096,877.14,
India,"Financial Year (Apr - Mar), 2024","January, 2025",24-Jan-2025,Reserve Tranche Position in IMF,35848.306,4154379,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",24-Jan-2025,SDRs,153954.73,1786055,,13704.73
India,"Financial Year (Apr - Mar), 2024","January, 2025",24-Jan-2025,Total Reserves,5426705.796,629556939,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",31-Jan-2025,Foreign Currency Assets,4656917.48,53768448,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",31-Jan-2025,Gold,614007.14,7089284,879.01,
India,"Financial Year (Apr - Mar), 2024","January, 2025",31-Jan-2025,Reserve Tranche Position in IMF,35874.71,41406,,
India,"Financial Year (Apr - Mar), 2024","January, 2025",31-Jan-2025,SDRs,154941.77,1788947,,13704.73
India,"Financial Year (Apr - Mar), 2024","January, 2025",31-Jan-2025,Total Reserves,5461741.1,63060739,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",06-Dec-2024,Foreign Currency Assets,4790434.18,56562339,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",06-Dec-2024,Gold,566898.21,6693566,876.18,
India,"Financial Year (Apr - Mar), 2024","December, 2024",06-Dec-2024,Reserve Tranche Position in IMF,36118.17,426637,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",06-Dec-2024,SDRs,152712.57,1803131,,13704.73
India,"Financial Year (Apr - Mar), 2024","December, 2024",06-Dec-2024,Total Reserves,5546163.13,65485673,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",13-Dec-2024,Foreign Currency Assets,4770775.06,56257614,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",13-Dec-2024,Gold,577132.78,6805626,876.18,
India,"Financial Year (Apr - Mar), 2024","December, 2024",13-Dec-2024,Reserve Tranche Position in IMF,35969.24,42396,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",13-Dec-2024,SDRs,152616.75,1799677,,13704.73
India,"Financial Year (Apr - Mar), 2024","December, 2024",13-Dec-2024,Total Reserves,5536493.83,65286877,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",20-Dec-2024,Foreign Currency Assets,4732162.96,55656201,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",20-Dec-2024,Gold,558837.43,6572633,876.18,
India,"Financial Year (Apr - Mar), 2024","December, 2024",20-Dec-2024,Reserve Tranche Position in IMF,35881.856,4217029,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",20-Dec-2024,SDRs,152068.9,1788522,,13704.73
India,"Financial Year (Apr - Mar), 2024","December, 2024",20-Dec-2024,Total Reserves,5478951.146,644390589,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",27-Dec-2024,Foreign Currency Assets,4721047.46,55192076,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",27-Dec-2024,Gold,566843.21,6626761,876.18,
India,"Financial Year (Apr - Mar), 2024","December, 2024",27-Dec-2024,Reserve Tranche Position in IMF,36097.19,421739,,
India,"Financial Year (Apr - Mar), 2024","December, 2024",27-Dec-2024,SDRs,152880.82,1787275,,13704.73
India,"Financial Year (Apr - Mar), 2024","December, 2024",27-Dec-2024,Total Reserves,5476868.68,64027851,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",01-Nov-2024,Foreign Currency Assets,4959942.75,58984933,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",01-Nov-2024,Gold,586520.71,6975057,867.79,
India,"Financial Year (Apr - Mar), 2024","November, 2024",01-Nov-2024,Reserve Tranche Position in IMF,36253.76,4311376,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",01-Nov-2024,SDRs,153197.78,1821868,,13702.17
India,"Financial Year (Apr - Mar), 2024","November, 2024",01-Nov-2024,Total Reserves,5735915.0,682129956,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",08-Nov-2024,Foreign Currency Assets,4939271.02,5853826,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",08-Nov-2024,Gold,572194.38,6781418,870.59,
India,"Financial Year (Apr - Mar), 2024","November, 2024",08-Nov-2024,Reserve Tranche Position in IMF,36262.545,4297778,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",08-Nov-2024,SDRs,153216.96,1815866,,13702.17
India,"Financial Year (Apr - Mar), 2024","November, 2024",08-Nov-2024,Total Reserves,5700944.905,675653218,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",15-Nov-2024,Foreign Currency Assets,4809631.42,56983454,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",15-Nov-2024,Gold,554920.8,6574579,874.32,
India,"Financial Year (Apr - Mar), 2024","November, 2024",15-Nov-2024,Reserve Tranche Position in IMF,35848.813,4247238,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",15-Nov-2024,SDRs,152470.26,1806434,,13704.73
India,"Financial Year (Apr - Mar), 2024","November, 2024",15-Nov-2024,Total Reserves,5552871.293,657891908,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",22-Nov-2024,Foreign Currency Assets,4787281.63,56679106,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",22-Nov-2024,Gold,570743.61,6757329,876.18,
India,"Financial Year (Apr - Mar), 2024","November, 2024",22-Nov-2024,Reserve Tranche Position in IMF,35763.35,4232474,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",22-Nov-2024,SDRs,151906.44,1798499,,13704.73
India,"Financial Year (Apr - Mar), 2024","November, 2024",22-Nov-2024,Total Reserves,5545695.03,656581814,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",29-Nov-2024,Foreign Currency Assets,4806615.6,5688518,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",29-Nov-2024,Gold,565949.11,6697876,876.18,
India,"Financial Year (Apr - Mar), 2024","November, 2024",29-Nov-2024,Reserve Tranche Position in IMF,35945.11,425401,,
India,"Financial Year (Apr - Mar), 2024","November, 2024",29-Nov-2024,SDRs,152151.53,1800678,,13704.73
India,"Financial Year (Apr - Mar), 2024","November, 2024",29-Nov-2024,Total Reserves,5560661.35,65809135,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",04-Oct-2024,Foreign Currency Assets,5144409.84,61264271,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",04-Oct-2024,Gold,552159.86,6575618,858.31,
India,"Financial Year (Apr - Mar), 2024","October, 2024",04-Oct-2024,Reserve Tranche Position in IMF,36543.166,4352139,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",04-Oct-2024,SDRs,154715.28,1842489,,13702.17
India,"Financial Year (Apr - Mar), 2024","October, 2024",04-Oct-2024,Total Reserves,5887828.146,701175919,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",11-Oct-2024,Foreign Currency Assets,5061363.96,60210108,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",11-Oct-2024,Gold,551932.24,6565799,863.12,
India,"Financial Year (Apr - Mar), 2024","October, 2024",11-Oct-2024,Reserve Tranche Position in IMF,36419.086,4332583,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",11-Oct-2024,SDRs,154157.14,1833857,,13702.17
India,"Financial Year (Apr - Mar), 2024","October, 2024",11-Oct-2024,Total Reserves,5803872.426,690430223,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",18-Oct-2024,Foreign Currency Assets,5029600.75,5982357,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",18-Oct-2024,Gold,567031.7,6744444,866.85,
India,"Financial Year (Apr - Mar), 2024","October, 2024",18-Oct-2024,Reserve Tranche Position in IMF,36288.36,43164,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",18-Oct-2024,SDRs,153610.41,1827088,,13702.17
India,"Financial Year (Apr - Mar), 2024","October, 2024",18-Oct-2024,Total Reserves,5786531.22,68826742,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",25-Oct-2024,Foreign Currency Assets,4992326.01,59375127,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",25-Oct-2024,Gold,576180.62,6852677,866.85,
India,"Financial Year (Apr - Mar), 2024","October, 2024",25-Oct-2024,Reserve Tranche Position in IMF,36214.78,430733,,
India,"Financial Year (Apr - Mar), 2024","October, 2024",25-Oct-2024,SDRs,153190.38,1821936,,13702.17
India,"Financial Year (Apr - Mar), 2024","October, 2024",25-Oct-2024,Total Reserves,5757911.79,68480473,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",06-Sep-2024,Foreign Currency Assets,5071258.5,60414415,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",06-Sep-2024,Gold,520331.16,6198758,853.64,
India,"Financial Year (Apr - Mar), 2024","September, 2024",06-Sep-2024,Reserve Tranche Position in IMF,38868.86,463106,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",06-Sep-2024,SDRs,155056.44,1847203,,13702.17
India,"Financial Year (Apr - Mar), 2024","September, 2024",06-Sep-2024,Total Reserves,5785514.96,68923482,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",13-Sep-2024,Foreign Currency Assets,5064603.8,60362895,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",13-Sep-2024,Gold,527635.61,6288668,853.64,
India,"Financial Year (Apr - Mar), 2024","September, 2024",13-Sep-2024,Reserve Tranche Position in IMF,37959.685,4523426,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",13-Sep-2024,SDRs,154540.2,18419,,13702.17
India,"Financial Year (Apr - Mar), 2024","September, 2024",13-Sep-2024,Total Reserves,5784739.295,689458056,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",20-Sep-2024,Foreign Currency Assets,5061914.07,60568627,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",20-Sep-2024,Gold,531633.2,6361288,853.64,
India,"Financial Year (Apr - Mar), 2024","September, 2024",20-Sep-2024,Reserve Tranche Position in IMF,37217.68,445762,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",20-Sep-2024,SDRs,154941.2,1853958,,13702.17
India,"Financial Year (Apr - Mar), 2024","September, 2024",20-Sep-2024,Total Reserves,5785706.15,69229635,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",27-Sep-2024,Foreign Currency Assets,5157442.98,61615398,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",27-Sep-2024,Gold,550741.05,6579642,853.64,
India,"Financial Year (Apr - Mar), 2024","September, 2024",27-Sep-2024,Reserve Tranche Position in IMF,36705.57,438701,,
India,"Financial Year (Apr - Mar), 2024","September, 2024",27-Sep-2024,SDRs,155248.7,1854739,,13702.17
India,"Financial Year (Apr - Mar), 2024","September, 2024",27-Sep-2024,Total Reserves,5900138.3,7048848,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",02-Aug-2024,Foreign Currency Assets,4958346.77,59203928,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",02-Aug-2024,Gold,503330.11,600989,846.18,
India,"Financial Year (Apr - Mar), 2024","August, 2024",02-Aug-2024,Reserve Tranche Position in IMF,38684.587,4619745,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",02-Aug-2024,SDRs,152095.9,1816064,,13699.01
India,"Financial Year (Apr - Mar), 2024","August, 2024",02-Aug-2024,Total Reserves,5652457.367,674918565,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",09-Aug-2024,Foreign Currency Assets,4936193.2,58795982,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",09-Aug-2024,Gold,497338.37,5923897,848.98,
India,"Financial Year (Apr - Mar), 2024","August, 2024",09-Aug-2024,Reserve Tranche Position in IMF,38914.847,4638242,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",09-Aug-2024,SDRs,153483.62,1828174,,13699.01
India,"Financial Year (Apr - Mar), 2024","August, 2024",09-Aug-2024,Total Reserves,5625930.037,670118772,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",16-Aug-2024,Foreign Currency Assets,4966458.89,59156905,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",16-Aug-2024,Gold,504594.43,6010368,848.98,
India,"Financial Year (Apr - Mar), 2024","August, 2024",16-Aug-2024,Reserve Tranche Position in IMF,39041.87,465027,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",16-Aug-2024,SDRs,153982.63,1834131,,13702.17
India,"Financial Year (Apr - Mar), 2024","August, 2024",16-Aug-2024,Total Reserves,5664077.82,67466431,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",23-Aug-2024,Foreign Currency Assets,5014011.6,59755207,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",23-Aug-2024,Gold,511817.95,6099664,848.98,
India,"Financial Year (Apr - Mar), 2024","August, 2024",23-Aug-2024,Reserve Tranche Position in IMF,39253.01,467996,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",23-Aug-2024,SDRs,154888.08,1845901,,13702.17
India,"Financial Year (Apr - Mar), 2024","August, 2024",23-Aug-2024,Total Reserves,5719970.64,68168768,,
India,"Financial Year (Apr - Mar), 2024","August, 2024",30-Aug-2024,Foreign Currency Assets,5024359.02,59903725,,
